Size,prompt_name,Function,Min,Average,Max,Minimum Average,Percentage
100000,prompt_3,p4_sum_array_pairs,0.8272554,1.050633746,1.5489107,1.050633746,0
1000,prompt_4,p4_sum_array_pairs,0.0040335,0.006142232,0.0170624,0.005821239,5.514174944
10000,prompt_4,p4_sum_array_pairs,0.0525135,0.068741275,0.1485101,0.066308708,3.668547324
100000,prompt_4,p4_sum_array_pairs,0.8262597,1.084916743,1.5489412,1.050633746,3.263077873
1000,prompt_5,p4_sum_array_pairs,0.0013686,0.006482499,0.0149462,0.005821239,11.35943685
10000,prompt_5,p4_sum_array_pairs,0.0073344,0.070005606,0.151789,0.066308708,5.57528221
100000,prompt_5,p4_sum_array_pairs,0.011005,1.101155415,2.2580256,1.050633746,4.80868519
1000,prompt_6,p4_sum_array_pairs,0.0042092,0.006551184,0.0161626,0.005821239,12.53933463
10000,prompt_6,p4_sum_array_pairs,0.053289,0.071031932,0.1626014,0.066308708,7.123081584
100000,prompt_6,p4_sum_array_pairs,0.6707542,1.110292044,1.4489129,1.050633746,5.678315448
1000,prompt_7,p4_sum_array_pairs,0.0039954,0.006256115,0.0161288,0.005821239,7.470497162
10000,prompt_7,p4_sum_array_pairs,0.053299,0.069337706,0.1305876,0.066308708,4.568023922
100000,prompt_7,p4_sum_array_pairs,0.8376231,1.090463938,1.4979721,1.050633746,3.791063455
1000,prompt_1,p5_find_duplicates_list,0.0031853,0.14843427,0.4549122,0.004090889,3528.410736
10000,prompt_1,p5_find_duplicates_list,0.0393282,216.0307692,600,0.047116687,458401.6107
100000,prompt_1,p5_find_duplicates_list,0.646268,216.68189,600,6.835150737,3070.11136
1000,prompt_2,p5_find_duplicates_list,0.0031846,0.008203586,0.4206297,0.004090889,100.5330584
10000,prompt_2,p5_find_duplicates_list,0.0392418,6.107128772,600,0.047116687,12861.71091
100000,prompt_2,p5_find_duplicates_list,0.6550078,6.870503131,600,6.835150737,0.517214549
1000,prompt_3,p5_find_duplicates_list,0.0031795,0.004090889,0.010739,0.004090889,0
10000,prompt_3,p5_find_duplicates_list,0.0391835,0.047116687,0.1046794,0.047116687,0
100000,prompt_3,p5_find_duplicates_list,0.6541779,6.835150737,600,6.835150737,0
1000,prompt_4,p5_find_duplicates_list,0.0031766,0.008728772,0.4346407,0.004090889,113.3710123
10000,prompt_4,p5_find_duplicates_list,0.0390521,6.111841964,600,0.047116687,12871.71415
100000,prompt_4,p5_find_duplicates_list,0.6473247,6.93075131,600,6.835150737,1.398660781
1000,prompt_5,p5_find_duplicates_list,0.0031759,0.072602804,1.1099036,0.004090889,1674.743743
10000,prompt_5,p5_find_duplicates_list,0.0391403,54.59849625,600,0.047116687,115779.3193
100000,prompt_5,p5_find_duplicates_list,0.6477746,67.51633381,600,6.835150737,887.7811976
1000,prompt_6,p5_find_duplicates_list,0.003182,0.08644533,2.1673723,0.004090889,2013.118245
10000,prompt_6,p5_find_duplicates_list,0.0391235,20.57007876,600,0.047116687,43557.73579
100000,prompt_6,p5_find_duplicates_list,0.6494652,21.33193136,600,6.835150737,212.091601
1000,prompt_7,p5_find_duplicates_list,0.0031833,0.004417609,0.013266,0.004090889,7.986510288
10000,prompt_7,p5_find_duplicates_list,0.0391582,0.049695485,0.0834954,0.047116687,5.473215175
100000,prompt_7,p5_find_duplicates_list,0.6515619,6.905781464,600,6.835150737,1.033345556
1000,prompt_1,p6_removing_duplicates,0.0009286,0.005694645,0.1630359,0.003610751,57.71357875
10000,prompt_1,p6_removing_duplicates,0.0241397,18.03078904,600,0.046546644,38637.03306
100000,prompt_1,p6_removing_duplicates,0.5178163,18.54425896,600,1.37623692,1247.461232
1000,prompt_2,p6_removing_duplicates,0.0009301,0.007178542,0.4749627,0.003610751,98.81020271
10000,prompt_2,p6_removing_duplicates,0.0240353,12.03745114,600,0.046546644,25761.05031
100000,prompt_2,p6_removing_duplicates,0.5153433,12.95920558,600,1.37623692,841.6405994
1000,prompt_3,p6_removing_duplicates,0.0009289,0.003610751,0.0108011,0.003610751,0
10000,prompt_3,p6_removing_duplicates,0.0278977,0.046546644,0.2993271,0.046546644,0
100000,prompt_3,p6_removing_duplicates,0.5192149,1.37623692,3.2325355,1.37623692,0
1000,prompt_4,p6_removing_duplicates,1.60E-05,0.004673098,0.3311158,0.003610751,29.42177386
10000,prompt_4,p6_removing_duplicates,1.62E-05,6.036801034,600,0.046546644,12869.35817
100000,prompt_4,p6_removing_duplicates,1.63E-05,7.264765849,600,1.37623692,427.8717453
1000,prompt_5,p6_removing_duplicates,9.20E-06,0.006476783,0.3366907,0.003610751,79.37494646
10000,prompt_5,p6_removing_duplicates,8.90E-06,6.172608753,600,0.046546644,13161.12511
100000,prompt_5,p6_removing_duplicates,9.10E-06,7.568259445,600,1.37623692,449.9241689
1000,prompt_6,p6_removing_duplicates,0.0009301,0.00831016,0.6026835,0.003610751,130.1504567
10000,prompt_6,p6_removing_duplicates,0.0156935,0.053525697,0.782387,0.046546644,14.99367491
100000,prompt_6,p6_removing_duplicates,0.1598077,1.420164308,2.7059488,1.37623692,3.191847782
1000,prompt_7,p6_removing_duplicates,0.000929,0.005940606,0.535984,0.003610751,64.52548707
10000,prompt_7,p6_removing_duplicates,0.0242359,6.167514407,600,0.046546644,13150.1805
100000,prompt_7,p6_removing_duplicates,0.5176868,7.550853323,600,1.37623692,448.6594069
1000,prompt_1,p7_quicksort,7.60E-06,0.060036497,0.1497553,0.060036497,0
10000,prompt_1,p7_quicksort,0.0012806,0.89517564,2.6013629,0.845382578,5.890003261
100000,prompt_1,p7_quicksort,600,600,600,586.639008,2.277549189
1000,prompt_2,p7_quicksort,0.0353709,0.063037676,0.1357953,0.060036497,4.998924032
10000,prompt_2,p7_quicksort,0.4228122,0.845382578,3.5919855,0.845382578,0
100000,prompt_2,p7_quicksort,5.3204947,586.639008,600,586.639008,0
1000,prompt_3,p7_quicksort,7.90E-06,0.065919435,0.1876669,0.060036497,9.798935635
10000,prompt_3,p7_quicksort,0.0013036,0.935715845,2.0650729,0.845382578,10.68548951
100000,prompt_3,p7_quicksort,4.2688624,593.6629342,600,586.639008,1.197316586
1000,prompt_4,p7_quicksort,7.60E-06,0.061445476,0.204266,0.060036497,2.346870099
